tweets,Subjectivity,Polarity,Analysis
Help me choose a song for my peta^^,0.0,0.0,0
: WHAT THE HELL IS THIS,0.0,0.0,0
 😢God forgive the ‘animal tortures’ I can’t🧐,0.0,0.0,0
"tw // PETA, animals being hurt/killed
.
.
.
.
.
.
.
.
PETA are you fucking serious
i just wanted to watch a normal… ",0.6666666666666666,-0.3333333333333333,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
 But 9News Adelaide just provided evidence that fully vaccinated people are potentially transmitting covid… ,1.0,0.0,0
: Donkeys are struck on the head with a sledgehammer to make gelatin that could be on shelves in stores near YOU! Join m…,0.4,0.125,1
: Ask the Greek minister to ban cruel donkey and mule rides on Santorini immediately. ,0.5,-0.5,-1
": The future is kinder. 
Join us:  ",0.125,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: NSW Premier  says it’s “too early” for a royal commission into the handling of COVID-19 by governments in Australi…,0.3,0.1,1
"Guess this name of the bird 🤔

 
 ",0.0,0.0,0
:   This u? ,0.0,0.0,0
"When culture takes over the roots of nature, rights of voiceless creatures end in bloodshed. This cruelty towards a… ",0.0,0.0,0
": The future is kinder. 
Join us:  ",0.125,0.0,0
: These Reasons Why the Iditarod Race Should Be Terminated Will Leave You Outraged  via ,1.0,-0.9,-1
": The future is kinder. 
Join us:  ",0.125,0.0,0
: 12 Reasons to Stop Drinking Cow’s Milk ,0.16666666666666666,-0.13333333333333333,-1
"_W_Global: Animals Suffering Continues on Santorini 

 via ",0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": 📝Today _EN will vote to ask the _Commission to phase out animal testing❌

💜We fully supp…",0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
