tweets,Subjectivity,Polarity,Analysis
Please help stop the bloody whale slaughter on the Faroe Islands: ,0.9,-0.8,-1
NOT A PETA YOUTUBE AD 😭,0.0,0.0,0
": THIS IS WHAT HAPPENS IN THE DAIRY INDUSTRY 💔 

Cow mothers have their babies stolen from them so humans can drink their milk. RET…",0.16666666666666666,-0.13333333333333333,-1
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": 📝Today _EN will vote to ask the _Commission to phase out animal testing❌

💜We fully supp…",0.0,0.0,0
"  but too bad, humanity loves you",0.6666666666666666,-0.6999999999999998,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
  They’re jobless bro. They even attacked pokemon. Their existence is a joke.,0.0,0.0,0
": Hey,  - greyhounds are loving, sensitive individuals who do NOT want to race. 
Sign here to take action: ",0.65,0.26666666666666666,1
"Animals Suffering Continues on Santorini 

 via ",0.0,0.0,0
": PETA urges PM Modi to declare Gandhi Jayanti as ‘National Meat-Free Day’ 

Read:  ",0.0,0.0,0
I hope that you feel the same pain. You scream so painfully and loudly that maybe you understand your torture. ,0.6083333333333333,-0.19999999999999998,-1
: Astonishing story by  reinventing credlin as a feminist warrior. Her role in the disgusting mysogyny…,1.0,-0.25,-1
" Rats will be disposed of. Rats are pests. If you dont want that happening, you better build a facilities to c… ",0.5,0.5,1
"Where were you? 🤔 




_HQ


_Official ",0.0,0.0,0
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
