tweets,Subjectivity,Polarity,Analysis
: Are we  Way to Extinction? We’re at the premiere of the new film narrated by Academy Award winner Kate Winslet to find…,0.45454545454545453,0.13636363636363635,1
_survivor  i once read an article by peta claiming we kill entire colonies at the end of the season because they’re ‘useless’ after that. lmfao,0.4125,-0.25,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Note: 1000000000000000= 1 peta byte. 616 years is not accurate number and I reduced it drastically.,0.6333333333333334,-0.20000000000000004,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Breaking  eyewitness footage shows shocking abuse to elephants in Thailand's tourism industry. TAKE ACTION FO…,0.55,-0.45,-1
 : fe5bcce9-0dec-4177-a626-fa1ab35df68b,0.0,0.0,0
: PETA out here forcing us to watch animal abuse videos because they really are the worst,0.6,-0.4,-1
 PETA was a mistake,0.0,0.0,0
_Neko78: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ht…,0.35,0.15000000000000002,1
"

For  killing of 1500 dolphins is just a trivial matter.  PETA raises great issues like how Hindus should celebrate their festival and all.  ",0.75,0.8,1
: Breaking  eyewitness footage shows shocking abuse to elephants in Thailand's tourism industry. TAKE ACTION FO…,0.55,-0.45,-1
: With so many brides and grooms refusing to support industries that exploit and kill animals and tying the knot vegan-style we a…,0.5,0.5,1
"Nobody:

Peta: ",0.0,0.0,0
"  if you want to pay for a seat for your pet only to then have it counted as a carry on piece of luggage, you should fly American — where every animal, service or not, is simply a piece of luggage.",0.5642857142857143,0.2,1
   PETA be like: Every  owner must own a real bear.,0.65,0.4,1
"

  
Have you shame??",0.0,0.0,0
Breaking  eyewitness footage shows shocking abuse to elephants in Thailand's tourism industry. TAKE ACTION FOR ELEPHANTS NOW: ,0.55,-0.45,-1
:   why don't you ban their product as same as you do with Thai coconut milk product from your misunderstanding. Y…,0.125,0.0,0
:  experimenter Shreesh Mysore is planning to torment &amp; kill up to 60 owls in bizarre experiments. Help me…,0.6,0.4,1
_  It’s kinda like showing up to a PETA fundraiser wearing a fur coat.,0.0,0.0,0
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
:  experimenter Shreesh Mysore is planning to torment &amp; kill up to 60 owls in bizarre experiments. Help me…,0.6,0.4,1
  That looks good,0.6000000000000001,0.7,1
 That's every peta campaign,0.0,0.0,0
Not me donating to Peta but eating chicken.,0.95,-0.6,-1
_ssj    _Emu   sleeping?,0.0,0.0,0
:  experimenter Shreesh Mysore is planning to torment &amp; kill up to 60 owls in bizarre experiments. Help me…,0.6,0.4,1
":    Signed &amp; Shared this Petition🙏

""BRAIN MANGLING EXPERIMENTS""
""Cruel and Usele…",1.0,-1.0,-1
  horse race in USA! Hav yu take any action against that?,0.1,0.1,1
 this looks like a peta ad,0.0,0.0,0
peta says don't buy products made with alpaca materials. ,0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
" Hey Peta, I have a great question for you guys;
How come if animals don't like what we do to them, they don't stand up against it. Why do other humans have to represent the animals? Doesn't that make the humans representing the animals just as bad as the others?",0.5972222222222222,-0.008333333333333267,-1
: How can you be Lord Chancellor and Deputy PM?  One of his primary functions is to defend the independence of the Judiciary -…,0.5,0.4,1
: Help Retire Lolita and the Orcas at Marineland Antibes to a Seaside Sanctuary  via ,0.0,0.0,0
 Nothing but a baseless emotional argument. You completely ignored all my points. Stop offending billions of Muslims with this nonesense! Milk has been the diet of humans since forever and it is mentioned as a diet in the Qur'an. Milk is on top of the food pyramid science.,0.5166666666666667,0.20833333333333334,1
